org,district,name,short_name,cfa_grp_name
CFA,10,Valencia Creek,VALE,Riverslea
CFA,10,Willung,WLNG,Stradbroke
CFA,10,Willung South,WSTH,Tarra
CFA,10,Winnindoo,WDOO,Riverslea
CFA,10,Won Wron,WONW,Tarra
CFA,10,Woodside,WSDE,Tarra
CFA,10,Woranga,WAGA,Tarra
CFA,10,Yarram,YRAM,Tarra
CFA,10,Coongulla,COON,Riverslea
CFA,10,Jack River,JACK,Tarra
CFA,11,Bairnsdale,BDAL,Mitchell
CFA,11,Benambra,BBRA,Omeo
CFA,11,Bendoc,BDOC,Mount Delegate
CFA,11,Bengworden,BWDN,Mitchell
CFA,11,Bruthen,BRUT,Tambo
CFA,11,Mossi - Tambo,MTAM,Tambo
CFA,11,Buchan,BUCH,Tambo
CFA,11,Cann Valley,CVAL,Orbost
CFA,11,Ensay,ENSA,Omeo
CFA,11,Fernbank,FBNK,Mitchell
CFA,11,Flaggy Creek,FLAG,Mitchell
CFA,11,Gelantipy,GELA,Tambo
CFA,11,Glenaladale,GLDA,Mitchell
CFA,11,Goongerah,GOON,Mount Delegate
CFA,11,Hillside,HILL,Mitchell
CFA,11,Johnsonville,JHNS,Tambo
CFA,11,Kalimna West,KALW,Tambo
CFA,11,Lakes Entrance,LENT,Tambo
CFA,11,Lindenow South,LIND,Mitchell
CFA,11,Mallacoota,MALL,Orbost
CFA,11,Marlo,MARL,Orbost
CFA,11,Metung,METU,Tambo
CFA,11,Mount Taylor,MTAY,Mitchell
CFA,11,Newmerella,NEWM,Orbost
CFA,11,Omeo,OMEO,Omeo
CFA,11,Orbost,ORBO,Orbost
CFA,11,Paynesville,PAYN,Mitchell
CFA,11,Sarsfield,SARS,Mitchell
CFA,11,Swifts Creek,SWCR,Omeo
CFA,11,Toorloo,TLOO,Tambo
CFA,11,Wairewa,WAIR,Orbost
CFA,11,Bonang,BONG,Mount Delegate
CFA,11,Bemm,BEMM,Orbost
CFA,12,Acheron,ACHE,Alexandra
CFA,12,Alexandra,ADRA,Alexandra
CFA,12,Broadford,BRFD,Mitchell Shire
CFA,12,Buxton,BUXT,Alexandra
CFA,12,Eildon,EILD,Alexandra
CFA,12,Flowerdale,FLOW,Yea
CFA,12,Glenaroua,GRUA,Mitchell Shire
CFA,12,Glenburn,GLBU,Yea
CFA,12,Highlands-Caveat,HLAN,Yea
CFA,12,Hilldene,HILD,Mitchell Shire
CFA,12,Homewood,HOMW,Yea
CFA,12,Kilmore,KILM,Mitchell Shire
CFA,12,Kinglake West,KIWE,Yea
CFA,12,Kinglake District,KING,Yea
CFA,12,Koriella,KORI,Alexandra
CFA,12,Molesworth,MOLE,Yea
CFA,12,Murrindindi & Woodbourne,MUWD,Yea
CFA,12,Nulla Vale,NULA,Mitchell Shire
CFA,12,Pyalong,PYAL,Mitchell Shire
CFA,12,Seymour,SEYM,Mitchell Shire
CFA,12,Strath Creek-Reedy Creek,SCRC,Yea
CFA,12,Taggerty,TAGG,Alexandra
CFA,12,Tallarook,TALA,Mitchell Shire
CFA,12,Terip Terip,TRIP,Alexandra
CFA,12,Thornton,THRN,Alexandra
CFA,12,Toolangi,TOLA,Yea
CFA,12,Tooborac,TOOB,Mitchell Shire
