distrct_no,brig_no,brig_name,short_name,grp_name
05,5320,Hawkesdale,HAWK,Hawkesdale
05,5339,Hensley Park,HENS,Dundas
05,5347,Hexham,HEXH,Mortlake
05,5349,Hilgay Settlers,HILG,Balmoral
05,5363,Karabeal,KARA,Dundas
05,5371,Kirkstall,KIRK,Belfast
05,5401,Kolora,KOLO,Mortlake
05,5405,Konongwootong,KONO,Nareen
05,5428,Koroit,KORO,Merri
05,5436,Laang,LAAN,Hopkins - Curdies
05,5444,Linlithgow,LGOW,Mount  Rouse
05,5452,Macarthur,MACA,Macarthur
05,5455,Melville Forest,MFOR,Balmoral
05,5460,Mepunga,MEPU,Hopkins - Curdies
05,5479,Minhamite,MINH,Hawkesdale
05,5487,Mirranatwa,MIRR,Dundas
05,5495,Mooralla,MOLA,Dundas
05,5511,Muntham,MUNT,Nareen
05,5513,Nareen,NARE,Nareen
05,5515,Mortlake,MLKU,Mortlake
05,5517,Naringal,NGAL,Hopkins - Curdies
05,5568,Nirranda South,NIRR,Hopkins - Curdies
05,5571,North Balmoral,NTHB,Balmoral
05,5576,North Byaduk,NBYA,Macarthur
05,5584,North Hamilton,NHTN,Dundas
05,5592,Nullawarre,NWAR,Hopkins - Curdies
05,5606,Orford,ORFO,Macarthur
05,5614,Panmure,PANM,Hopkins - Curdies
05,5622,Penshurst,PENS,Mount  Rouse
05,5657,Peterborough,PETE,Hopkins - Curdies
05,5659,Pigeon Ponds,PPND,Nareen
05,5665,Port Fairy,PRTF,Belfast
05,5681,Purnim,PURN,Merri
05,5703,Ripponhurst,RIPP,Macarthur
05,5711,Spring Creek,SPCR,Hawkesdale
05,5738,St Helens,STNS,Belfast
05,5746,Strathkellar,SKEL,Dundas
05,5754,Strathmore,SMOR,Serra
05,5760,Tarrayoukyan,TYAN,Nareen
05,5761,Tarrenlea,TLEA,Balmoral
05,5762,Tarrington,TTON,Dundas
05,5770,The Sisters,THES,Mortlake
05,5789,Toolong,TLNG,Belfast
05,5795,Vasey,VASE,Balmoral
05,5797,Victoria Valley,VICV,Dundas
05,5798,Wando Heights,WHIG,Nareen
05,5800,Wangoom,WAOM,Merri
05,5819,Warrayure-Moutajup,WJUP,Dundas
05,5827,Warrnambool,WBOL,Merri
05,5835,Warrong,WAOG,Hawkesdale
05,5843,Willatook & District,WTOK,Hawkesdale
05,5851,Winslow & Yarpturk,WINS,Merri
05,5878,Woodford,WFRD,Merri
05,5886,Woodhouse,WHOU,Serra
05,5894,Woolsthorpe,WTHO,Hawkesdale
05,5898,Wootong Vale,WOTV,Balmoral
05,5908,Wooriwyrite,WRIT,Mortlake
05,5924,Yambuk,YAMB,Belfast
05,5932,Yulecart,YULE,Dundas
06,6017,Apollo Bay,APOL,Corangamite
06,6025,Barongarook West,BARO,Corangamite
06,6027,Barwon Downs,BARD,Beeac
06,6033,Beeac,BEEA,Beeac
06,6041,Berrybank,BBNK,Lismore
06,6050,Birregurra,BIRR,Beeac
06,6068,Bookaar,BOOK,Camperdown
06,6076,Boorcan,BOOR,Camperdown
06,6084,Bostocks Creek,BOST,Cobden
06,6092,Brucknell-Ayrford,BRUK,Timboon
06,6106,Bungador,BUNG,Corangamite
06,6114,Camperdown,CDWN,Camperdown
06,6122,Carpendeit-Sth Purrumbete,CARP,Cobden
06,6130,Chocolyn,CHOC,Camperdown
06,6150,Cobden,COBD,Cobden
06,6165,Cobrico,COCO,Cobden
06,6173,Colac,COLA,Beeac
06,6181,Cororooke,CRKE,Corangamite
06,6203,Cressy,CRES,Lismore
06,6211,Darlington,DARL,Lismore
06,6218,Dixie,DIXI,Camperdown
06,6238,Derrinallum,DERR,Lismore
06,6246,Dreeite South,DREE,Corangamite
06,6254,Duverney,DUVE,Lismore
06,6262,Ecklin & District,ECKL,Cobden
06,6289,Forrest,FORE,Beeac
06,6297,Gellibrand,GELL,Corangamite
06,6300,Gerangamete,GERE,Beeac
06,6319,Irrewarra,IRRE,Beeac
06,6327,Jancourt,JANC,Cobden
06,6335,Kawarren,KAWA,Corangamite
06,6343,Kennedy's Creek,KENN,Timboon
06,6351,Larpent,LARP,Corangamite
06,6378,Leslie Manor,LESM,Lismore
06,6386,Lismore,LSMR,Lismore
06,6394,Lower Heytesbury,LHEY,Timboon
06,6408,Mingay & District,MDST,Lismore
06,6416,Nalangil,NALA,Corangamite
06,6424,Noorat & District,NOOR,Camperdown
06,6432,Otway,OTWY,Corangamite
06,6440,Pomborneit & Dist,POMB,Camperdown
06,6459,Port Campbell,PRTC,Timboon
06,6467,Princetown,PRIN,Timboon
06,6475,Scotts Ck-Cowleys Ck.,SCOT,Timboon
06,6483,Simpson,SIMP,Timboon
06,6491,Stonyford,SFRD,Camperdown
06,6505,Swan Marsh,SMSH,Corangamite
06,6513,Terang,TERA,Camperdown
06,6548,Tesbury,TESY,Camperdown
06,6556,Timboon,TIMB,Timboon
06,6564,Vite Vite North,VIVI,Lismore
06,6580,Warrion,WARI,Corangamite
06,6599,Weering-Eurack,WEER,Beeac
06,6602,Weerite,WRTE,Camperdown
06,6605,Wye River,WYER,Corangamite
06,6610,Yeo & District,YEOA,Beeac
06,6629,Yeodene,YEOD,Beeac
06,6637,Irrewillipe,IRWI,Corangamite
06,6653,Carlisle River,CRIV,Corangamite
07,7005,Aireys Inlet,AIRE,Coastal
07,7013,Anakie,ANAK,Anakie
07,7048,Anglesea,ANGL,Coastal
07,7050,Bellbrae,BBRE,Coastal
07,7056,Bannockburn,BBRN,Anakie
07,7064,Barrabool,BARR,Anakie
07,7072,Barunah Plains North,BARU,Leigh
07,7080,Barwon Heads,BARW,Bellarine
07,7110,Connewarre,CONN,Coastal
07,7129,Dereel,DERE,Leigh
07,7137,Deans Marsh,DEAN,Winchelsea
07,7145,Drysdale,DRYS,Bellarine
07,7161,Freshwater Creek,FRES,Coastal
07,7188,Gnarwarre,GNAR,Winchelsea
07,7197,Grovedale,GROV,Geelong
07,7218,Inverleigh,INVE,Winchelsea
07,7226,Lara,LARA,Geelong
07,7242,Leopold,LEOP,Bellarine
07,7269,Lethbridge,LETH,Anakie
07,7277,Lorne,LRNE,Coastal
07,7293,Lovely Banks,LOVE,Anakie
07,7307,Mannerim,MANN,Bellarine
07,7315,Meredith,MERE,Anakie
07,7323,Modewarre,MODE,Winchelsea
07,7331,Mount Mercer,MTME,Leigh
07,7358,Ocean Grove,OCEA,Bellarine
07,7366,Portarlington,PORT,Bellarine
07,7382,Queenscliff,QUEE,Bellarine
07,7390,Rokewood,ROKE,Leigh
07,7404,St Leonards-Indented Head,STLE,Bellarine
07,7412,Shelford,SHEL,Leigh
07,7420,Stonehaven,STON,Anakie
07,7439,Teesdale,TEES,Leigh
07,7447,Torquay,TRQY,Coastal
