map_no,mga_zone,x,y,x_base,y_base
211,55,363170,5794862,300000,5700000
212,55,359376,5789904,300000,5700000
213,55,363275,5789987,300000,5700000
214,55,359481,5785029,300000,5700000
215,55,363379,5785112,300000,5700000
219,55,280764,5817486,200000,5800000
220,55,284664,5817569,200000,5800000
221,55,288564,5817653,200000,5800000
222,55,292464,5817737,200000,5800000
225,55,280869,5812609,200000,5800000
226,55,284769,5812693,200000,5800000
227,55,288668,5812776,200000,5800000
228,55,292568,5812860,200000,5800000
